Certification,View,Comment_num,Date,Name,Fans,Video_Index,Comment_Text,Censor_Score,Topic,Certification_Type
4,3628000,68000,"(2019, 3, 19)",浙江共青团,1543515,3,2少1宽胡乱梆！,10,Xinjiang Counter-terrorism,Government
4,3628000,68000,"(2019, 3, 19)",浙江共青团,1543515,3,这些人怎么实现工业化，倒退,9,Xinjiang Counter-terrorism,Government
1,5550000,32000,"(2024, 5, 13)",花岗岩工作室,1654458,167,？,10,Xinjiang Counter-terrorism,Famous Content Creator
4,1539000,40000,"(2019, 3, 20)",共青团中央,11416573,4,叶城皮帽子报道,10,Xinjiang Counter-terrorism,Government
1,1873000,7597,"(2024, 4, 6)",毒舌的南瓜,2299729,48,bro not bad组织？,5,Xinjiang Counter-terrorism,Famous Content Creator
4,1539000,40000,"(2019, 3, 20)",共青团中央,11416573,4,民族团结！,9,Xinjiang Counter-terrorism,Government
4,3628000,68000,"(2019, 3, 19)",浙江共青团,1543515,3,鲁迅,5,Xinjiang Counter-terrorism,Government
0,746000,3964,"(2020, 10, 6)",大红矛,8458,70,致敬,10,Xinjiang Counter-terrorism,None
0,4917000,2153,"(2022, 2, 28)",宫水毅,1571,69,生在中国真好,3,Xinjiang Counter-terrorism,None
4,1539000,40000,"(2019, 3, 20)",共青团中央,11416573,4,天朝脏话,5,Xinjiang Counter-terrorism,Government
4,3628000,68000,"(2019, 3, 19)",浙江共青团,1543515,3,浙江团团好多粉丝啊,8,Xinjiang Counter-terrorism,Government
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,感谢你为事实发声,7,Xinjiang Counter-terrorism,None
0,449000,1907,"(2025, 3, 2)",账号已注销,3658,154,上海秋裤门呀！,1,Xinjiang Counter-terrorism,None
4,1548000,9646,"(2021, 1, 25)",共青团中央,11416566,146,师夷长技以制夷,9,Xinjiang Counter-terrorism,Government
4,3628000,68000,"(2019, 3, 19)",浙江共青团,1543515,3,呃,6,Xinjiang Counter-terrorism,Government
0,237000,701,"(2024, 9, 18)",全民历史观,9291,59,有什么争议就是我们的 希望博主严谨一点,4,Xinjiang Counter-terrorism,None
0,110000,760,"(2024, 11, 27)",油管老外游新手村,32711,136,大饼脸,7,Xinjiang Counter-terrorism,None
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,来中国吃对地方了,6,Xinjiang Counter-terrorism,None
4,1539000,40000,"(2019, 3, 20)",共青团中央,11416573,4,天佑中华，天佑西域！,9,Xinjiang Counter-terrorism,Government
0,383000,382,"(2024, 5, 13)",时间碎片记录,22435,95,悍匪啊,7,Xinjiang Counter-terrorism,None
4,3628000,68000,"(2019, 3, 19)",浙江共青团,1543515,3,姐姐好美,9,Xinjiang Counter-terrorism,Government
1,615000,11000,"(2022, 3, 4)",峰哥亡命天涯,2213971,169,哈哈哈哈哈，太可爱了,7,Xinjiang Counter-terrorism,Famous Content Creator
1,1873000,7597,"(2024, 4, 6)",毒舌的南瓜,2299729,48,皮蓬可以强   但不能太强,8,Xinjiang Counter-terrorism,Famous Content Creator
0,120000,995,"(2025, 3, 6)",笑声笑,10508,49,换我们现在已经问候对方祖宗了,3,Xinjiang Counter-terrorism,None
2,24115000,197000,"(2020, 7, 23)",乌鸦校尉CaptainWuya,2926525,46,老子打的就是精锐,9,Xinjiang Counter-terrorism,Influencer
5,847000,2901,"(2025, 3, 17)",央视网快看,1931375,166,一盘散沙,5,Xinjiang Counter-terrorism,Media
0,1233000,17000,"(2024, 2, 26)",油管精選頻道,656628,26,好大一串啊，广州二十比这个小,9,Xinjiang Counter-terrorism,None
0,641000,7653,"(2021, 8, 15)",游小源儿,11806,180,1900真不算贵吧，内地影楼写着古风的三四套都要这个价格,6,Xinjiang Counter-terrorism,None
